id,item_date,quantity tons,customer,country,status,item type,application,thickness,width,product_ref,delivery date,selling_price
1AE6BD54-D46D-4890-BC2A-8A934469CDCF,20201215.0,2.546872120985054,30201494.0,26.0,Success,W,3.0,3.0,855.0,1670798778,20210101.0,646.0
BC6369E9-E2FF-471B-8D22-ED90947C8005,20201215.0,24.414501667971017,30157111.0,78.0,Success,W,41.0,1.25,1010.0,611993,20210301.0,884.0
4DA7123E-AE7C-48C4-9166-6D6CA0D2664F,20201215.0,114.13045442945038,30201494.0,26.0,Success,W,3.0,2.0,1234.0,1670798778,20210101.0,645.0
07177C18-88AE-4F2B-97A9-DB9402AB8CD4,20201215.0,19.579852783610736,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,977.0
7DCC1451-88F4-427E-A067-4488DF7D63AD,20201215.0,4.27050076157374,30201494.0,26.0,Success,W,3.0,2.0,1280.0,1670798778,20210101.0,636.0
A1ECC99A-E0CF-4651-AD8C-D21A196E86B3,20201215.0,18.989384783659894,30157111.0,78.0,Success,W,41.0,0.8,1500.0,611993,20210301.0,942.0
13B2B158-0E75-4D06-B2F4-2F6F4F466D6A,20201215.0,6.72943806190949,30201494.0,26.0,Success,W,3.0,2.2,700.0,1670798778,20210101.0,650.0
9B68B259-E12F-428C-918D-98B1EAE7AE23,20201215.0,17.958821131926005,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,938.0
886713D6-88F3-4D54-939F-EAF8A9E1EAA0,20201215.0,2.040661062920732,30201494.0,26.0,Success,W,3.0,2.2,735.0,1670798778,20210101.0,657.0
69A399FE-CF79-44A9-A46A-3A48FE6564C8,20201215.0,21.648643228292123,30157111.0,78.0,Success,W,41.0,0.75,1246.0,611993,20210301.0,1044.0
0B4E2A17-33F5-4A41-AC5C-2D061484DB56,20201215.0,5.902910311613476,30201494.0,26.0,Success,W,3.0,2.2,837.0,1670798778,20210101.0,650.0
1D1D4094-705F-4C22-BC6C-CDD93569D373,20201215.0,21.3900738577398,30157111.0,78.0,Success,W,41.0,0.88,1246.0,611993,20210301.0,900.0
754FF149-FBE1-4B59-BA5D-0B9E0350A7D7,20201215.0,8.022910688952503,30201494.0,26.0,Success,W,3.0,2.2,858.0,1670798778,20210101.0,646.0
746F330D-353D-4AAB-BC63-57B697F56612,20201215.0,16.79819071210599,30157111.0,78.0,Success,W,41.0,0.88,1246.0,611993,20210301.0,1016.0
BE03DACA-634D-4ED5-A408-34EFC4A61E81,20201215.0,7.349459754522424,30201494.0,26.0,Success,W,3.0,2.2,929.0,1670798778,20210101.0,650.0
62C1EC62-D244-4CFD-9B42-5314C5ECB1BD,20201215.0,24.290539770750634,30157111.0,78.0,Success,W,41.0,0.75,1500.0,611993,20210301.0,973.0
E1A53F3C-5F17-46B0-A861-C843861FCC5F,20201215.0,6.401835344267991,30201494.0,26.0,Success,W,3.0,2.2,936.0,1670798778,20210101.0,641.0
1FFC57E5-FF28-48B6-A1AA-046258661820,20201215.0,20.43635652083197,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1012.0
256CD43B-3B03-485D-AFB5-1D02D24F511C,20201215.0,2.678482626129874,30201494.0,26.0,Success,W,3.0,2.5,929.0,1670798778,20210101.0,644.0
DA33F458-C777-44C9-9689-E7FC6351278B,20201215.0,20.74850013547365,30157111.0,78.0,Success,W,41.0,0.63,1250.0,611993,20210301.0,1064.0
623A7D71-BFA0-45BE-B69D-DCF729F509B9,20201215.0,5.286406485231071,30201494.0,26.0,Success,W,3.0,3.1,810.0,1670798778,20210101.0,646.0
B30941B0-EE7F-4EC7-8933-F48BE4E01A97,20201215.0,23.548221041136756,30157111.0,78.0,Success,W,41.0,0.63,1246.0,611993,20210301.0,953.0
19C7EEF2-C260-427B-955C-1B6E1774442A,20201215.0,2.8349251440833356,30201494.0,26.0,Success,W,3.0,3.8,746.0,1670798778,20210101.0,641.0
A960FFB3-F8A4-44E5-8926-0FE06D017226,20201215.0,24.338475988053947,30157111.0,78.0,Success,W,41.0,0.7,1246.0,611993,20210301.0,925.0
B91906EE-7ECB-4DE0-B717-902ADF1BC440,20201215.0,4.276365910002243,30201494.0,26.0,Success,W,3.0,3.8,800.0,1670798778,20210101.0,649.0
4BFC88DF-B53B-450F-8FBF-1E3EB31BD101,20201215.0,2.839822592451083,30201494.0,26.0,Success,W,3.0,2.05,837.0,1670798778,20210101.0,649.0
0373F877-4AFA-4413-82A2-5E6F0E4B7EF5,20201215.0,9.718938443420004,30201494.0,26.0,Success,W,3.0,2.05,936.0,1670798778,20210101.0,645.0
E915C741-7755-4519-88DA-8CA6D45E2164,20201215.0,23.07912721665268,30157111.0,78.0,Success,W,41.0,0.6,1250.0,611993,20210301.0,962.0
D4C83B75-3A91-4AD2-8F87-A9F69B2EA5E4,20201215.0,4.444594888222104,30201494.0,26.0,Success,W,3.0,2.5,1234.0,1670798778,20210101.0,636.0
17C4CB6F-291F-4535-AFA0-2AB5DC832A8B,20201215.0,17.241631022742418,30157111.0,78.0,Success,W,41.0,0.6,1250.0,611993,20210301.0,978.0
A2EC7D05-00BE-4127-B9E1-2C853D1D33D2,20201215.0,2.3248703826070374,30201494.0,26.0,Success,W,3.0,2.64,837.0,1670798778,20210101.0,643.0
AD9E24CA-2694-41D3-85DF-FAD846AD8CB6,20201215.0,21.08030487824086,30157111.0,78.0,Success,W,41.0,0.6,1250.0,611993,20210301.0,971.0
F20CF565-8B22-40AE-8919-5234C6272AB4,20201215.0,10.233270723031973,30201494.0,26.0,Success,W,3.0,2.95,952.0,1670798778,20210101.0,644.0
0BBBDD9A-045D-4231-9E27-67830C9B99FA,20201215.0,23.160783253914182,30157111.0,78.0,Success,W,41.0,0.88,1246.0,611993,20210301.0,936.0
5D60802F-9F8E-4824-96D7-A1DEA8708CF6,20201215.0,8.551296850115897,30201494.0,26.0,Success,W,3.0,2.05,1400.0,1670798778,20210101.0,636.0
DDB59656-6C8D-4A5D-BCAF-F2C52B3836B7,20201215.0,20.709725399122505,30157111.0,78.0,Success,W,41.0,0.6,1246.0,611993,20210301.0,921.0
49BEB035-F5CD-461C-B6E6-33B858CE2877,20201215.0,115.42867404038188,30201494.0,26.0,Success,W,3.0,2.05,700.0,1670798778,20210101.0,656.0
30D3E7E2-8375-49CD-B386-DBCC51233528,20201215.0,24.248940398146274,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,882.0
6D3EF870-3012-4C5C-9CBB-2F7245B4E80D,20201215.0,105.79061052912256,30201494.0,26.0,Success,W,3.0,2.26,726.0,1670798778,20210101.0,654.0
BB3DAF9A-6D69-484F-B659-C9E48C1720FB,20201215.0,24.675873127456413,30157111.0,78.0,Success,W,41.0,1.5,1500.0,611993,20210301.0,858.0
8259BD3F-ED7A-440E-9BCA-E6F928755E09,20201215.0,59.57411116207293,30201494.0,26.0,Success,W,3.0,2.05,735.0,1670798778,20210101.0,649.0
10007C0E-B5CB-4EFB-A813-873E90251C47,20201215.0,21.44431389969928,30157111.0,78.0,Success,W,41.0,0.5,1250.0,611993,20210301.0,1062.0
F585CAC6-B8AC-4CD8-9A4E-3846D4425E4C,20201215.0,18.610019188506687,30157111.0,78.0,Success,W,41.0,0.88,1500.0,611993,20210301.0,1012.0
8E6F1A54-24E7-4AC2-8A79-D22DBF90C3FA,20201215.0,56.59968894268281,30209578.0,26.0,Failure,S,56.0,0.21,970.0,164141591,20210401.0,1078.0
F337F1DD-48C8-41D3-9ACF-9754C3D437DA,20201215.0,17.995508290042796,30157111.0,78.0,Success,W,41.0,1.15,1500.0,611993,20210301.0,8166.0
C1169C54-6857-40CE-9871-40FDC4B2C8D8,20201215.0,18.513215054114408,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,885.0
